iter	SMAPE	RMSE
0	10.38949343	9.29479408
1	9.436267847	8.536183854
2	8.721725786	7.959455054
3	8.196037604	7.528939492
4	7.824013841	7.214314863
5	7.593810626	6.998203269
6	7.384584419	6.826058545
7	7.223821866	6.687912716
8	7.0926143	6.57657174
9	6.991756783	6.494018906
10	6.913455376	6.41416087
11	6.819982226	6.337025308
12	6.765057168	6.282743001
13	6.711237859	6.235819363
14	6.672152317	6.198095137
15	6.628227349	6.160310322
16	6.585798749	6.128657562
17	6.56350378	6.107653471
18	6.542675076	6.089752821
19	6.502889925	6.057302457
20	6.478166607	6.038224327
21	6.446277494	6.007382383
22	6.412757634	5.982970223
23	6.386553293	5.962090418
24	6.358088549	5.940538851
25	6.335343251	5.918539807
26	6.321540196	5.905355102
27	6.307012366	5.895038327
28	6.294263655	5.883997472
29	6.282903145	5.870627365
30	6.26610983	5.857986148
31	6.243010559	5.840025086
32	6.22320323	5.819538635
33	6.214352528	5.811478774
34	6.191849246	5.795238513
35	6.173370748	5.782237503
36	6.164478348	5.774758672
37	6.154519813	5.764974783
38	6.146621293	5.757810206
39	6.138999565	5.751129369
40	6.126562831	5.742303364
41	6.118712387	5.735639301
42	6.107287431	5.725577404
43	6.085157516	5.709773922
44	6.077613049	5.69940654
45	6.07181377	5.694565409
46	6.067337362	5.690886698
47	6.059797209	5.683031849
48	6.053661784	5.677632506
49	6.048715174	5.672420514
50	6.043603534	5.667383687
51	6.02417745	5.654121136
52	6.017933207	5.648813
53	6.004909542	5.639939663
54	5.998439634	5.63421695
55	5.989813901	5.628018042
56	5.980421733	5.61966046
57	5.973812684	5.613677336
58	5.966806469	5.607217882
59	5.961989532	5.602686656
60	5.948887645	5.590000548
61	5.941790055	5.584437728
62	5.937319978	5.578914453
63	5.928903346	5.573209346
64	5.920238761	5.565460061
65	5.911165326	5.55638193
66	5.903853817	5.549402663
67	5.895834351	5.54287813
68	5.884741188	5.534994586
69	5.881135313	5.531351593
70	5.872128632	5.523401609
71	5.865297817	5.516939938
72	5.85970742	5.512097052
73	5.855163417	5.507956477
74	5.850090824	5.50255904
75	5.842941034	5.496862656
76	5.834591875	5.490364306
77	5.830980245	5.48503318
78	5.824668464	5.479869091
79	5.822014929	5.477580476
80	5.818065212	5.472154788
81	5.813350657	5.467101453
82	5.803442903	5.458800536
83	5.79923271	5.454962395
84	5.793976672	5.448980937
85	5.79132979	5.445232171
86	5.786307033	5.440940973
87	5.782817521	5.437566132
88	5.774155375	5.430778546
89	5.76920834	5.426958901
90	5.765935532	5.422448275
91	5.759923267	5.417632105
92	5.757589454	5.414519585
93	5.754354842	5.410929084
94	5.750239641	5.407307628
95	5.746826162	5.402916112
96	5.743082273	5.398166434
97	5.736797474	5.392721392
98	5.732197745	5.387959985
99	5.727826884	5.382613826
100	5.725713237	5.379661791
101	5.719618198	5.374039954
102	5.713882729	5.369106522
103	5.711540905	5.36602944
104	5.708971371	5.363047962
105	5.705772339	5.360159021
106	5.699141418	5.355080907
107	5.689949845	5.348725205
108	5.687550442	5.346428168
109	5.685778917	5.344071137
110	5.682240224	5.340485868
111	5.679574584	5.336953233
112	5.676639561	5.33431608
113	5.674038648	5.331346222
114	5.671776642	5.328863664
115	5.668672068	5.325263359
116	5.665095548	5.322604473
117	5.661366947	5.319033993
118	5.654807251	5.313732279
119	5.650891454	5.309524899
120	5.647277293	5.306127505
121	5.643808108	5.303326356
122	5.639391088	5.299130067
123	5.635631602	5.295876586
124	5.631502422	5.29271269
125	5.627632157	5.289178204
126	5.621567919	5.28439425
127	5.61773444	5.280305968
128	5.614590754	5.27731646
129	5.607046604	5.272141497
130	5.603368468	5.26780743
131	5.598557889	5.262605047
132	5.595728354	5.259869423
133	5.593898496	5.257796292
134	5.590749673	5.255122406
135	5.589811186	5.253561097
136	5.586554193	5.250590267
137	5.582755944	5.246878875
138	5.579802528	5.242681087
139	5.577484312	5.239870473
140	5.573763261	5.235934649
141	5.571141912	5.233094824
142	5.567831948	5.229141808
143	5.565003928	5.226539262
144	5.562681052	5.224055037
145	5.56090847	5.221681586
146	5.557902184	5.218480395
147	5.555066605	5.215248143
148	5.552849055	5.21371726
149	5.5498025	5.209551124
150	5.547123567	5.206976293
151	5.545148815	5.204768118
152	5.542739391	5.201914264
153	5.539879993	5.198771483
154	5.53775432	5.196384761
155	5.535692404	5.193929997
156	5.530343805	5.190063053
157	5.527486942	5.18726949
158	5.52284736	5.183368848
159	5.520971371	5.180628183
160	5.516877359	5.177783395
161	5.515623424	5.175945458
162	5.513144263	5.173457325
163	5.510690376	5.17031443
164	5.5081273	5.16798965
165	5.505626171	5.164372184
166	5.501420437	5.161160358
167	5.500013375	5.15882883
168	5.496961184	5.155309131
169	5.494019873	5.152746317
170	5.492779227	5.151479453
171	5.488234213	5.147209358
172	5.48252413	5.142611767
173	5.478012671	5.138136448
174	5.475160275	5.135218883
175	5.472056489	5.130679631
176	5.468845263	5.127458995
177	5.467138787	5.125877232
178	5.46572851	5.124179652
179	5.463301152	5.120949915
180	5.461314381	5.118908259
181	5.460208964	5.117624623
182	5.45850128	5.115674273
183	5.455105574	5.112846989
184	5.453166977	5.110448943
185	5.450950195	5.108350736
186	5.446918916	5.104129775
187	5.445415736	5.102757997
188	5.442587564	5.100443494
189	5.441540584	5.09848329
190	5.438731255	5.095730509
191	5.436778776	5.093644426
192	5.435665667	5.091944499
193	5.43406406	5.090023892
194	5.431860895	5.087672042
195	5.429046174	5.085010165
196	5.426297459	5.082103363
197	5.4244936	5.079267934
198	5.4234732	5.077758774
199	5.420946237	5.075626167
200	5.419703429	5.074253831
201	5.416890015	5.071388001
202	5.415361038	5.069197662
203	5.414054568	5.067581979
204	5.411594987	5.065029251
205	5.409391811	5.06275275
206	5.407806766	5.061473958
207	5.404934422	5.05735884
208	5.4024709	5.054587356
209	5.399830658	5.052245974
210	5.397353985	5.049718405
211	5.394468302	5.046963644
212	5.39247682	5.045301867
213	5.391025982	5.04383442
214	5.387224651	5.040715852
215	5.384918011	5.038759443
216	5.382782978	5.036357004
217	5.380240131	5.033850784
218	5.377498196	5.03092081
219	5.376109643	5.028742293
220	5.372930243	5.02483848
221	5.37088314	5.022913343
222	5.369152119	5.020770774
223	5.365788349	5.017099918
224	5.363775141	5.014784915
225	5.361841518	5.012766045
226	5.359922189	5.010555742
227	5.358622159	5.008930868
228	5.356413701	5.006506719
