iter	Passed	Remaining
0	315	18904747
1	417	12533214
2	543	10872042
3	631	9467636
4	760	9128633
5	845	8451837
6	952	8160231
7	1021	7657110
8	1096	7310373
9	1227	7365339
10	1341	7316691
11	1399	6997408
12	1472	6795723
13	1542	6610485
14	1660	6638833
15	1739	6522520
16	1861	6568745
17	1949	6494994
18	2034	6421763
19	2086	6257964
20	2136	6101742
21	2279	6214418
22	2417	6303512
23	2497	6240826
24	2578	6186406
25	2640	6090181
26	2699	5997269
27	2749	5889615
28	2805	5801708
29	2883	5763876
30	2944	5695726
31	3031	5680837
32	3155	5734126
33	3232	5701217
34	3320	5688329
35	3398	5660997
36	3493	5661612
37	3544	5593089
38	3666	5637175
39	3756	5631624
40	3877	5669909
41	3969	5666126
42	4037	5629457
43	4143	5646566
44	4211	5611656
45	4267	5562412
46	4342	5539295
47	4386	5478865
48	4475	5475968
49	4550	5456531
50	4616	5427110
51	4670	5384843
52	4721	5340191
53	4781	5307990
54	4924	5367716
55	5009	5362376
56	5074	5336643
57	5176	5349901
58	5323	5408181
59	5430	5425075
60	5574	5477843
61	5740	5549393
62	5853	5568869
63	5985	5605397
64	6106	5630258
65	6208	5638189
66	6327	5660347
67	6475	5707200
68	6556	5694620
69	6653	5696532
70	6788	5730354
71	6869	5717992
72	6930	5689761
73	6999	5667919
74	7084	5660624
75	7175	5657943
76	7251	5643204
77	7312	5617387
78	7390	5605865
79	7458	5586318
80	7521	5563618
81	7599	5552767
82	7699	5558399
83	7761	5535924
84	7822	5514009
85	7910	5510821
86	7977	5493704
87	8041	5474957
88	8094	5448953
89	8185	5448812
90	8270	5444930
91	8340	5430969
92	8409	5417053
93	8489	5410558
94	8549	5391302
95	8608	5371427
96	8670	5354383
97	8740	5342833
98	8853	5356899
99	8938	5353930
100	9013	5345722
101	9125	5358728
102	9260	5385148
103	9297	5354579
104	9352	5334999
105	9402	5312947
106	9466	5298742
107	9565	5304521
108	9604	5277352
109	9647	5252357
110	9699	5233506
111	9742	5209338
112	9797	5192476
113	9841	5170134
114	9889	5149983
115	9931	5127001
116	9976	5106426
117	10018	5084373
118	10075	5070010
119	10127	5053617
120	10184	5039747
121	10228	5020297
122	10292	5010242
123	10344	4995224
124	10397	4980222
125	10449	4965345
126	10491	4945898
127	10537	4928959
128	10594	4916962
129	10629	4895370
130	10673	4878141
131	10727	4865453
132	10795	4859376
133	10864	4853666
134	10945	4853922
135	10985	4835601
136	11047	4827396
137	11179	4849582
138	11285	4860332
139	11353	4854351
140	11536	4897452
141	11573	4878760
142	11796	4937609
143	11904	4948128
144	11993	4950725
145	12027	4930881
146	12171	4955778
147	12295	4972376
148	12401	4981581
149	12505	4989655
150	12592	4991174
151	12659	4984321
152	12733	4980861
153	12806	4976769
154	12898	4980051
155	12973	4976877
156	13088	4988851
157	13168	4987659
158	13332	5017834
159	13446	5029029
160	13523	5026325
161	13664	5047408
162	13788	5061638
163	13845	5051412
164	13914	5046034
165	13995	5044788
166	14066	5039592
167	14146	5038350
168	14300	5062925
169	14392	5065477
170	14577	5100178
171	14685	5108244
172	14801	5118817
173	14897	5122287
174	14976	5119714
175	15085	5127540
176	15176	5129392
177	15250	5125284
178	15350	5129923
179	15503	5152298
180	15559	5142121
181	15626	5135935
182	15673	5123048
183	15734	5115078
184	15828	5117739
185	15893	5110939
186	15980	5111593
187	16155	5139718
188	16222	5133701
189	16284	5126149
190	16349	5119683
191	16413	5112848
192	16467	5103044
193	16540	5099047
194	16596	5089869
195	16655	5081949
196	16716	5074530
197	16776	5066974
198	16831	5057980
199	16902	5053895
200	16974	5050013
201	17040	5044414
202	17113	5041120
203	17179	5035591
204	17269	5037164
205	17403	5051688
206	17528	5063188
207	17687	5084425
208	17782	5087116
209	17867	5087005
210	17956	5088097
211	18034	5086021
212	18151	5094848
213	18247	5097959
214	18325	5095904
215	18391	5090366
216	18458	5085197
217	18515	5077590
218	18585	5073368
219	18676	5074978
220	18761	5074830
221	18821	5068184
222	18901	5066820
223	18955	5058501
224	19036	5057309
225	19070	5043906
226	19178	5050067
227	19244	5045003
228	19343	5048777
229	19408	5043803
230	19464	5036199
231	19539	5033702
232	19596	5026773
233	19667	5023156
234	19748	5022371
235	19800	5014250
236	19851	5005785
237	19907	4998910
238	19988	4998017
239	20050	4992599
240	20106	4985705
241	20159	4978107
242	20205	4968814
243	20240	4956955
244	20298	4950675
245	20359	4945490
246	20423	4940722
247	20485	4935629
248	20548	4930919
249	20601	4923783
250	20677	4922218
251	20760	4922194
252	20826	4918348
253	20899	4915890
254	20986	4917012
255	21093	4922809
256	21141	4914555
257	21179	4904208
258	21218	4894357
259	21273	4888092
260	21309	4877482
261	21362	4870746
262	21412	4863667
263	21476	4859491
264	21573	4863100
265	21659	4864032
266	21710	4857049
267	21768	4851765
268	21819	4844914
269	21874	4839150
270	21921	4831581
271	21972	4824897
272	22027	4819272
273	22075	4811982
274	22127	4805693
275	22180	4799714
276	22248	4796869
277	22307	4792237
278	22363	4786894
279	22406	4778984
280	22471	4775753
281	22516	4768301
282	22565	4761549
283	22621	4756639
284	22681	4752331
285	22721	4743929
286	22829	4749836
287	22910	4750152
288	22994	4750942
289	23059	4747921
290	23121	4744229
291	23170	4737818
292	23224	4732689
293	23283	4728443
294	23337	4723349
295	23393	4718478
296	23466	4717235
297	23516	4711360
298	23560	4704246
299	23626	4701658
300	23676	4695950
301	23726	4690048
302	23778	4684767
303	23834	4680310
304	23896	4677131
305	23945	4671329
306	24049	4676194
307	24084	4667678
308	24160	4667122
309	24233	4666054
310	24301	4664029
311	24364	4661056
312	24424	4657625
313	24483	4653866
314	24538	4649534
315	24606	4647573
316	24653	4641597
317	24705	4636675
318	24777	4635647
319	24830	4630885
320	24881	4625886
321	24928	4620172
322	24975	4614361
323	25037	4611579
324	25080	4605125
325	25126	4599464
326	25180	4595061
327	25246	4593037
328	25305	4589661
329	25357	4585116
330	25417	4582010
331	25480	4579463
332	25536	4575641
333	25606	4574353
334	25676	4573039
335	25732	4569314
336	25805	4568671
337	25872	4566919
338	25926	4562860
339	25973	4557663
340	26012	4550916
341	26082	4549816
342	26129	4544689
343	26175	4539303
344	26263	4541309
345	26309	4535978
346	26347	4529494
347	26394	4524328
348	26425	4516594
349	26463	4510090
350	26506	4504526
351	26550	4499117
352	26601	4494898
353	26649	4490195
354	26703	4486617
355	26746	4481145
356	26796	4476833
357	26897	4481015
358	26952	4477615
359	27013	4475296
360	27092	4475794
361	27125	4468865
362	27214	4471040
363	27279	4469342
364	27331	4465539
365	27377	4460786
366	27431	4457337
367	27472	4451662
368	27509	4445534
369	27551	4440294
370	27600	4436172
371	27646	4431441
372	27703	4428612
373	27748	4423954
374	27795	4419501
375	27852	4416690
376	27899	4412352
377	27942	4407385
378	28019	4407730
379	28072	4404438
380	28128	4401632
381	28170	4396485
382	28208	4390901
383	28273	4389446
384	28325	4386115
385	28366	4380871
386	28408	4376002
387	28456	4372065
388	28499	4367286
389	28546	4363169
390	28591	4358839
391	28637	4354605
392	28680	4349961
393	28714	4344024
394	28758	4339663
395	28815	4337107
396	28870	4334450
397	28923	4331410
398	28966	4326886
399	29019	4323890
400	29068	4320391
401	29113	4316225
402	29165	4313035
403	29205	4308306
404	29258	4305377
405	29310	4302280
406	29355	4298183
407	29394	4293329
408	29443	4289888
409	29485	4285406
410	29544	4283490
411	29591	4279894
412	29628	4274806
413	29666	4269873
414	29710	4265774
415	29752	4261478
416	29801	4258154
417	29845	4254150
418	29898	4251473
419	29941	4247361
420	29983	4243261
421	30042	4241358
422	30087	4237590
423	30131	4233802
424	30182	4230815
425	30241	4229126
426	30291	4226162
427	30339	4222809
428	30389	4219899
429	30438	4216809
430	30486	4213533
431	30534	4210308
432	30585	4207594
433	30627	4203523
434	30675	4200487
435	30719	4196698
436	30757	4192230
437	30799	4188363
438	30851	4185769
439	30896	4182257
440	30946	4179446
441	30993	4176282
442	31036	4172559
443	31076	4168467
444	31124	4165433
445	31168	4161848
446	31269	4165973
447	31322	4163612
448	31366	4160125
449	31404	4155908
450	31456	4153483
451	31486	4148099
452	31516	4142826
453	31553	4138522
454	31595	4134832
455	31634	4130801
456	31672	4126686
457	31717	4123423
458	31759	4119804
459	31809	4117235
460	31886	4118204
461	31943	4116571
462	31986	4113194
463	32029	4109688
464	32078	4107083
465	32135	4105480
466	32193	4103983
467	32253	4102748
468	32306	4100669
469	32343	4096631
470	32397	4094720
471	32448	4092387
472	32493	4089259
473	32547	4087416
474	32596	4084906
475	32644	4082149
476	32691	4079437
477	32745	4077626
478	32810	4077076
479	32855	4074025
480	32912	4072552
481	32962	4070274
482	33026	4069676
483	33081	4067928
484	33132	4065741
485	33193	4064739
486	33244	4062633
487	33298	4060723
488	33345	4058093
489	33389	4055180
490	33436	4052529
491	33479	4049365
492	33526	4046717
493	33575	4044479
494	33622	4041792
495	33665	4038780
496	33704	4035204
497	33775	4035507
498	33845	4035758
499	33925	4037149
500	33993	4037104
501	34082	4039566
502	34152	4039669
503	34250	4043200
504	34326	4044100
505	34398	4044421
506	34468	4044593
507	34507	4041233
508	34555	4038742
509	34595	4035511
510	34645	4033269
511	34688	4030384
512	34725	4026777
513	34779	4025083
514	34820	4021961
515	34862	4018867
516	34909	4016524
517	34961	4014581
518	35001	4011409
519	35048	4009065
520	35090	4005988
521	35143	4004321
522	35180	4000804
523	35234	3999233
524	35286	3997490
525	35336	3995425
526	35404	3995414
527	35443	3992263
528	35503	3991371
529	35567	3990888
530	35617	3988980
531	35673	3987601
532	35731	3986586
533	35782	3984743
534	35832	3982719
535	35895	3982241
536	35955	3981436
537	36022	3981397
538	36097	3982219
539	36163	3981989
540	36226	3981516
541	36276	3979579
542	36319	3976880
543	36363	3974327
544	36419	3973121
545	36470	3971247
546	36505	3967709
547	36545	3964792
548	36576	3960894
549	36648	3961336
550	36702	3959909
551	36745	3957345
552	36791	3955100
553	36834	3952422
554	36878	3949980
555	36918	3947102
556	36965	3944999
557	37005	3942126
558	37042	3938931
559	37090	3936903
560	37154	3936625
561	37204	3934807
562	37252	3932832
563	37309	3931822
564	37351	3929199
565	37396	3926902
566	37437	3924161
567	37480	3921681
568	37522	3919179
569	37569	3917123
570	37612	3914644
571	37663	3913035
572	37716	3911643
573	37799	3913331
574	37842	3910938
575	37890	3909009
576	37928	3906109
577	37982	3904864
578	38035	3903426
579	38155	3908955
580	38237	3910575
581	38303	3910508
582	38369	3910500
583	38429	3909831
584	38503	3910529
585	38603	3913956
586	38679	3914884
587	38745	3914837
588	38801	3913790
589	38849	3911926
590	38901	3910463
591	39027	3916501
592	39121	3919184
593	39210	3921448
594	39261	3919927
595	39318	3918933
596	39391	3919528
597	39462	3919990
598	39504	3917564
599	39582	3918667
600	39631	3916958
601	39701	3917246
602	39760	3916483
603	39803	3914142
604	39850	3912231
605	39896	3910296
606	39943	3908316
607	40013	3908671
608	40092	3909865
609	40155	3909544
610	40230	3910384
611	40322	3912893
612	40375	3911559
613	40429	3910341
614	40471	3907931
615	40525	3906738
616	40571	3904834
617	40640	3904998
618	40703	3904749
619	40750	3902811
620	40808	3902067
621	40863	3900984
622	40926	3900637
623	40997	3901106
624	41059	3900686
625	41129	3901012
626	41212	3902610
627	41253	3900193
628	41301	3898427
629	41354	3897132
630	41405	3895722
631	41450	3893765
632	41501	3892248
633	41548	3890531
634	41597	3888836
635	41645	3887197
636	41687	3884943
637	41731	3882833
638	41784	3881635
639	41832	3879998
640	41872	3877592
641	41915	3875405
642	41956	3873152
643	42017	3872633
644	42087	3873056
645	42154	3873149
646	42197	3871044
647	42246	3869420
648	42310	3869335
649	42359	3867729
650	42402	3865707
651	42452	3864186
652	42496	3862205
653	42565	3862548
654	42621	3861620
655	42661	3859337
656	42700	3856900
657	42746	3855143
658	42800	3854053
659	42828	3850705
660	42871	3848651
661	42915	3846746
662	42983	3846931
663	43109	3852327
664	43217	3856111
665	43298	3857470
666	43363	3857386
667	43415	3856223
668	43468	3855012
669	43583	3859427
670	43670	3861256
671	43721	3859977
672	43773	3858799
673	43816	3856730
674	43866	3855393
675	43921	3854426
676	44002	3855751
677	44114	3859864
678	44142	3856506
679	44208	3856499
680	44293	3858193
681	44348	3857268
682	44389	3855118
683	44436	3853505
684	44481	3851677
685	44536	3850747
686	44602	3850797
687	44630	3847538
688	44668	3845187
689	44709	3843114
690	44756	3841480
691	44798	3839504
692	44834	3836912
693	44873	3834686
694	44912	3832466
695	44947	3829814
696	44986	3827618
697	45029	3825714
698	45074	3823946
699	45114	3821825
700	45147	3819115
701	45217	3819522
702	45260	3817662
703	45308	3816234
704	45349	3814151
705	45399	3812955
706	45446	3811357
707	45488	3809443
708	45531	3807645
709	45569	3805385
710	45647	3806475
711	45724	3807487
712	45766	3805537
713	45805	3803429
714	45859	3802506
715	45914	3801646
716	45963	3800346
717	46024	3800041
718	46104	3801277
719	46167	3801110
720	46246	3802292
721	46304	3801730
722	46370	3801829
723	46422	3800751
724	46479	3800132
725	46522	3798273
726	46563	3796360
727	46610	3794896
728	46704	3797305
729	46783	3798410
730	46855	3799009
731	46903	3797629
732	46938	3795239
733	46997	3794771
734	47054	3794124
735	47105	3792996
736	47179	3793750
737	47222	3791980
738	47284	3791786
739	47343	3791316
740	47400	3790720
741	47454	3789830
742	47497	3788126
743	47546	3786842
744	47598	3785841
745	47640	3784026
746	47682	3782218
747	47731	3781006
748	47768	3778802
749	47828	3778473
750	47868	3776489
751	47917	3775305
752	47969	3774283
753	48023	3773467
754	48139	3777487
755	48185	3776090
756	48231	3774610
757	48281	3773435
758	48328	3772110
759	48377	3770935
760	48428	3769874
761	48491	3769734
762	48564	3770371
763	48667	3773363
764	48724	3772843
765	48779	3772030
766	48829	3770985
767	48894	3770973
768	48944	3769840
769	48992	3768577
770	49034	3766887
771	49083	3765674
772	49134	3764635
773	49173	3762694
774	49218	3761278
775	49269	3760246
776	49312	3758607
777	49355	3756958
778	49395	3755150
779	49437	3753440
780	49475	3751494
781	49517	3749789
782	49564	3748479
783	49601	3746451
784	49629	3743676
785	49669	3741921
786	49752	3743335
787	49791	3741449
788	49842	3740482
789	49882	3738694
790	49924	3737052
791	49971	3735748
792	50009	3733794
793	50039	3731270
794	50089	3730279
795	50136	3728962
796	50180	3727537
797	50222	3725936
798	50262	3724139
799	50307	3722771
800	50345	3720824
801	50374	3718283
802	50412	3716381
803	50440	3713739
804	50483	3712232
805	50578	3714601
806	50629	3713626
807	50679	3712633
808	50752	3713344
809	50811	3712976
810	50854	3711527
811	50900	3710192
812	50947	3709018
813	50998	3708136
814	51050	3707301
815	51104	3706548
816	51148	3705183
817	51190	3703641
818	51236	3702363
819	51278	3700816
820	51312	3698722
821	51352	3697009
822	51414	3696920
823	51458	3695487
824	51504	3694285
825	51552	3693189
826	51610	3692792
827	51687	3693814
828	51755	3694147
829	51811	3693632
830	51875	3693645
831	51924	3692634
832	51975	3691725
833	52025	3690840
834	52087	3690734
835	52134	3689550
836	52185	3688704
837	52232	3687556
838	52305	3688276
839	52368	3688246
840	52405	3686362
841	52455	3685491
842	52497	3683998
843	52538	3682436
844	52569	3680192
845	52617	3679133
846	52658	3677550
847	52698	3675945
848	52734	3674108
849	52776	3672655
850	52822	3671419
851	52861	3669783
852	52916	3669194
853	52989	3669898
854	53045	3669478
855	53104	3669164
856	53168	3669241
857	53251	3670635
858	53321	3671128
859	53380	3670840
860	53438	3670509
861	53483	3669232
862	53533	3668374
863	53582	3667403
864	53619	3665682
865	53672	3664953
866	53741	3665403
867	53796	3664837
868	53835	3663234
869	53876	3661744
870	53917	3660229
871	53979	3660215
872	54032	3659569
873	54085	3658891
874	54134	3657921
875	54189	3657437
876	54226	3655710
877	54271	3654462
878	54315	3653224
879	54351	3651460
880	54401	3650595
881	54444	3649230
882	54488	3648043
883	54543	3647518
884	54589	3646394
885	54626	3644704
886	54663	3642965
887	54713	3642139
888	54752	3640570
889	54792	3639072
890	54828	3637345
891	54869	3635907
892	54910	3634508
893	54960	3633639
894	55003	3632356
895	55051	3631403
896	55117	3631696
897	55160	3630372
898	55199	3628853
899	55241	3627550
900	55285	3626312
901	55336	3625610
902	55385	3624709
903	55433	3623765
904	55471	3622192
905	55506	3620416
906	55550	3619219
907	55586	3617549
908	55629	3616259
909	55669	3614856
910	55714	3613762
911	55754	3612320
912	55792	3610740
913	55865	3611446
914	55909	3610297
915	55963	3609765
916	56002	3608287
917	56046	3607144
918	56094	3606205
919	56145	3605538
920	56186	3604196
921	56234	3603280
922	56279	3602204
923	56324	3601124
924	56364	3599741
925	56412	3598800
926	56453	3597467
927	56496	3596303
928	56542	3595270
929	56584	3594040
930	56626	3592767
931	56678	3592168
932	56721	3590990
933	56817	3593127
934	56886	3593570
935	56959	3594309
936	57033	3595065
937	57079	3594033
938	57145	3594321
939	57215	3594838
940	57282	3595131
941	57348	3595402
942	57389	3594087
943	57443	3593651
944	57489	3592619
945	57539	3591911
946	57594	3591486
947	57642	3590629
948	57687	3589597
949	57730	3588382
950	57768	3586942
951	57813	3585913
952	57849	3584298
953	57905	3583930
954	57956	3583259
